ds,yhat,yhat_lower,yhat_upper
2017-06-01,20825.39342513292,18620.08521617259,23137.01984653702
2017-07-01,20080.44966664205,17833.515962490455,22458.835292500833
2017-08-01,21549.448971280803,19099.78922092272,23748.480224989944
2017-09-01,29056.285395795425,26808.078900068438,31274.297618702276
2017-10-01,22788.076839634734,20470.500093153765,24984.923897872726
2017-11-01,22593.606981576377,20230.89018184317,24761.835222464106
2017-12-01,22802.062687535974,20452.507975781682,24980.837090411063
2018-01-01,25628.45434716701,23258.496044718664,27890.081425170487
2018-02-01,24500.10538812464,22246.46783404106,26786.583484404953
2018-03-01,21538.488749193908,19242.5091819095,23756.242458564717
2018-04-01,22582.316707742066,20385.094473049267,24932.461823914015
2018-05-01,24112.911288925694,21704.69903192545,26250.445382366397
2018-06-01,22766.445145424732,20394.604881674535,25160.38340991135
2018-07-01,21792.165003132028,19575.018010987864,24086.17757050545
2018-08-01,23507.68679237356,21083.00396525168,25665.757186694016
2018-09-01,30778.476889369056,28675.03559551638,33002.721960674055
2018-10-01,24250.301215878295,21937.765496867225,26585.895981512094
2018-11-01,24517.80335537322,22299.545179526842,26898.461545566333
2018-12-01,24709.11830243383,22445.768667359243,27015.83137350915
2019-01-01,28104.993017816218,25660.302627955953,30324.280827655137
2019-02-01,25837.9478655802,23548.375345464054,28101.71345302764
2019-03-01,23583.944552453846,21459.360964995496,26007.357199575745
2019-04-01,24557.05083424324,22277.092678157762,26778.662376113552
2019-05-01,25903.67989910436,23592.051663613733,28151.15552641303
2019-06-01,24946.74717067464,22679.177271412693,27010.24519207861
2019-07-01,23733.958918290064,21454.766449905022,25871.26500247295
2019-08-01,25688.653784496768,23415.889147692542,27994.30158908362
2019-09-01,32710.685479349533,30445.205564569445,35213.47274982182
2019-10-01,25917.287453212826,23577.63752099734,28118.104324127176
2019-11-01,26641.658770562335,24359.785392177866,28875.091176523172
2019-12-01,26804.59120609814,24526.66459397695,29187.29711326776
2020-01-01,30743.732816626125,28454.232188950384,33023.54686234459
2020-02-01,27329.77022074604,25168.367594944488,29628.588762351505
2020-03-01,25276.901403663098,22982.86939197374,27502.785106023057
2020-04-01,26516.195218906814,24132.736847764998,28600.489772363715
2020-05-01,28468.017790407688,26220.606620822644,30701.246082556823
2020-06-01,26388.41264566088,24133.80426108935,28749.17937084272
2020-07-01,25926.49582124845,23595.03613818482,28192.485305206388
2020-08-01,27205.043356651055,24801.04090805538,29434.83959739342
2020-09-01,34998.10370249417,32554.766906760655,37278.083258541265
2020-10-01,29068.23533128747,26808.1262648933,31428.047031809005
2020-11-01,28461.173289859755,26055.61946022912,30574.046185384817
2020-12-01,28728.05026475228,26492.143996070678,31118.94082974201
2021-01-01,31013.047055004427,28588.104699810036,33284.92777436778
2021-02-01,31067.95980119102,28803.4954593388,33289.14864558466
2021-03-01,27460.36372722273,25046.589941040063,29733.65166122682
2021-04-01,28618.714836438598,26329.279065805178,31140.826487110182
2021-05-01,30366.27199403788,27968.85890191347,32616.97625960852
2021-06-01,28661.167188754243,26533.46797736394,30911.10962415855
2021-07-01,27952.39650330372,25659.084929703047,30262.361074675235
2021-08-01,29458.77465009088,27253.597570739366,31710.364391583
2021-09-01,37002.989916746934,34884.891737439255,39328.070437902636
2021-10-01,30770.95443363184,28438.545042048976,33241.5435276847
2021-11-01,30602.940086052222,28266.516942944247,32861.33344441114
2021-12-01,30836.99789893033,28573.149596900985,33190.879424234074
2022-01-01,33689.8450690462,31592.73888226469,35959.57283366898
2022-02-01,32587.951620475356,30260.81923640988,34894.54683141232
2022-03-01,29650.230281337073,27284.905705039673,32030.76875858915
2022-04-01,30720.513750368005,28458.31722349097,32963.00318786561
2022-05-01,32266.919864769756,29937.169812961605,34588.05181362034
2022-06-01,30936.792305590796,28638.033414184873,33064.60470715476
2022-07-01,29978.32369651579,27575.673338603585,32291.282653829832
2022-08-01,31710.184070081876,29561.45989146003,33888.58792586397
2022-09-01,38997.31275140543,36762.76473833428,41295.58035907788
2022-10-01,32477.365417217254,30329.32253004621,34583.64674815984
2022-11-01,32753.370173994455,30372.197116109834,34843.422569245566
2022-12-01,32952.91346036107,30617.586496850923,35170.67341491268
2023-01-01,36357.29079302893,34037.23753837053,38544.20444053111
2023-02-01,34098.74825806624,31791.93201797102,36441.02694074322
2023-03-01,31846.507548251167,29559.377232505583,34195.15828978215
2023-04-01,32821.565283699485,30362.1603247003,35182.493879041365
2023-05-01,34170.08285210258,31989.17095157381,36560.11614225231
2023-06-01,33215.10157733223,31060.655066363688,35500.453879575725
2023-07-01,32004.201828492533,29698.66802418827,34212.117211963756
2023-08-01,33959.03633156454,31760.01500716755,36163.057824740594
2023-08-31,40544.69229375612,38120.58767573811,42733.015155646266
2023-09-30,32810.171392115684,30344.53393608982,35209.61828494303
2023-10-31,35363.5461591,33031.62164937241,37673.95569095894
